id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,popularity,poster_path,genres
64682,The Great Gatsby,7.379,11505,2013-05-09,351040419,143,False,105000000,36.651,/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg,"Drama, Romance"
399055,The Shape of Water,7.247,11490,2017-12-01,195333312,123,False,19500000,29.339,/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg,"Drama, Fantasy, Romance"
85,Raiders of the Lost Ark,7.924,11483,1981-06-12,389925971,115,False,18000000,60.763,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,"Adventure, Action"
19908,Zombieland,7.3,11466,2009-10-07,102391540,88,False,23600000,32.08,/dUkAmAyPVqubSBNRjRqCgHggZcK.jpg,"Comedy, Horror"
296096,Me Before You,7.918,11414,2016-06-01,207945075,110,False,20000000,79.741,/Ia3dzj5LnCj1ZBdlVeJrbKJQxG.jpg,"Drama, Romance"
530915,1917,7.99,11395,2019-12-25,394638258,119,False,100000000,44.356,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,"War, History, Thriller"
398818,Call Me by Your Name,8.167,11367,2017-09-01,43143046,132,False,4000000,32.15,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,"Romance, Drama"
82693,Silver Linings Playbook,7.13,11327,2012-11-16,236412453,122,False,21000000,28.014,/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg,"Drama, Comedy, Romance"
240,The Godfather Part II,8.591,11293,1974-12-20,102600000,202,False,13000000,64.753,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,"Drama, Crime"
14,American Beauty,8.0,11260,1999-09-15,356296601,122,False,15000000,29.837,/wby9315QzVKdW9BonAefg8jGTTb.jpg,Drama
70981,Prometheus,6.535,11255,2012-05-30,403354469,124,False,130000000,60.299,/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,"Science Fiction, Adventure, Mystery"
37799,The Social Network,7.358,11190,2010-10-01,224920315,121,False,40000000,36.101,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,Drama
546554,Knives Out,7.847,11156,2019-11-27,312897920,131,False,40000000,39.064,/pThyQovXQrw2m0s9x82twj48Jq4.jpg,"Comedy, Crime, Mystery"
489,Good Will Hunting,8.149,11111,1997-12-05,225933435,127,False,10000000,56.169,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,Drama
350,The Devil Wears Prada,7.384,11089,2006-06-29,326706115,109,False,35000000,50.84,/u6QBDGUCOEMRekna95ip2MxplbQ.jpg,"Comedy, Drama, Romance"
103,Taxi Driver,8.2,11081,1976-02-09,28600000,114,False,1900000,41.36,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"Crime, Drama"
